version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
v22.8,20,14,15,0,0,0,71,101,58.1,45.1,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t20-noaim.jsonl,0
v22.8,21,12,12,0,1,1,71,101,57.9,46.3,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t21-noaim.jsonl,0
v22.8,22,14,15,0,0,0,71,101,58.1,44.0,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t22-noaim.jsonl,0
v22.8,23,14,15,0,0,0,71,102,59.2,43.6,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t23-noaim.jsonl,0
v22.8,24,14,14,0,1,1,71,101,57.9,48.0,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t24-noaim.jsonl,0
v22.8,25,13,14,0,1,1,71,101,57.9,44.2,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t25-noaim.jsonl,0
v22.8,26,15,13,0,1,1,71,101,58.6,50.0,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t26-noaim.jsonl,0
v22.8,27,14,14,0,1,1,71,101,58.1,42.8,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t27-noaim.jsonl,0
v22.8,28,14,14,0,1,1,71,102,58.1,44.5,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t28-noaim.jsonl,0
v22.8,29,14,15,0,0,0,71,101,58.3,48.8,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t29-noaim.jsonl,0
v22.8,30,14,14,0,1,1,71,101,58.3,46.3,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t30-noaim.jsonl,0
v22.8,1,23,14,0,0,0,71,99,57.9,37.5,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t1.jsonl,1
v22.8,2,26,14,0,0,0,69,99,58.3,44.0,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t2.jsonl,2
v22.8,3,29,14,0,0,0,69,100,58.0,45.7,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t3.jsonl,2
v22.8,4,33,13,0,1,1,70,99,58.5,47.6,72,passive,custom-5f697a3b-742,campaign,0,v22.8-custom-5f697a3b-742-t4.jsonl,2
